id,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default,mat_orig_diff
46690,126172.72666666665,99.34578703666668,7.424999999999998,169.9466666666667,2.023171749073333,7.473333333333334,0.0,1.0,0.0,0.0,128000.0,613.0,80.0,7.424999999999998,212.73,0.0,119.0
46692,80310.98,49.058252119399995,9.166666666666666,185.19866666666664,0.04819471356666665,6.3999999999999995,0.0,0.0,0.0,0.0,85500.0,615.0,75.29999999999998,0.0,125.92000000000003,1.0,120.0
46707,59846.375333333344,61.90996516733333,7.75,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,55900.0,521.0,65.0,7.75,149.7,0.0,120.06666666666666
46714,103185.10333333332,82.98297870846666,6.900000000000002,165.416,1.8808086463666664,7.846666666666666,0.0,0.0,1.0,0.0,114000.0,777.0,78.6,6.900000000000002,191.42000000000004,1.0,120.0
46716,128415.83133333334,142.3782823406667,3.466666666666667,155.368,0.49824109711333325,8.926666666666666,0.0,0.0,1.0,0.0,130000.0,619.0,100.0,0.0,223.75,0.0,118.0
46719,175956.1313333333,135.92801997933333,5.729333333333333,164.30666666666667,0.19561674950666663,8.006666666666668,0.0,0.0,1.0,0.0,177500.0,610.0,100.0,0.0,223.75,1.0,118.0
46743,172473.81133333332,109.00050376826668,8.575000000000001,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,189000.0,643.0,90.0,8.575000000000001,223.75,0.0,118.0
46748,144809.30533333335,123.2107696432,5.266666666666667,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,142200.0,554.0,90.0,0.0,225.09999999999994,0.0,120.53333333333333
46758,106641.63066666666,64.66223086066665,8.799999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,1.0,176000.0,613.0,80.0,8.799999999999999,222.3899999999999,0.0,120.0
46771,122286.76799999998,79.4654675628,5.253333333333334,170.19533333333337,1.998497704873333,7.386666666666667,0.0,1.0,0.0,0.0,124994.0,646.0,64.39999999999999,0.0,212.73,0.0,118.0
46783,159247.93333333332,122.29497710533333,7.058333333333334,156.59533333333331,0.3135023258999999,8.76666666666667,0.0,0.0,1.0,0.0,159435.0,581.0,90.0,0.0,212.73,1.0,119.0
46784,129621.39066666666,60.6096878104,7.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,140800.0,580.0,80.0,0.0,138.61999999999995,0.0,120.0
46802,152237.07,92.34580151533333,5.0,157.11133333333333,1.7927859006666664,8.846666666666666,0.0,0.0,1.0,1.0,150000.0,624.0,63.79999999999998,0.0,223.75,1.0,118.0
46805,282464.902,110.03877975606666,4.55,156.59533333333331,0.3135023258999999,8.76666666666667,0.0,0.0,1.0,0.0,288000.0,616.0,78.9,0.0,222.3899999999999,0.0,120.0
46812,98178.06000000003,59.72236373766667,8.450000000000001,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,109500.0,543.0,75.0,0.0,149.7,0.0,120.0
46817,62619.114666666675,79.87356305686667,10.75,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,67400.0,527.0,89.90000000000002,10.75,161.27,0.0,121.0
